prompt_id,metric,field,expected,actual,expected_field,actual_field,pass,severity,reason
canonical,transport_capacity:EauClaire_to_Menomonie:Manure,transport_capacity:EauClaire_to_Menomonie:Manure,"{""capacity"": 1000.0, ""route"": {""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""diagnosis"": ""capacity_recovered"", ""route"": {""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""menomonie"", ""origin"": ""eau_claire"", ""product"": ""manure""}}","{""capacity"": 1000.0, ""route"": {""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""diagnosis"": ""capacity_recovered"", ""route"": {""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""menomonie"", ""origin"": ""eau_claire"", ""product"": ""manure""}}",True,blocking,"each required transport capacity must be recovered, even when currently nonbinding"
canonical,transport_link:EauClaire_to_BlackRiverFalls:Manure,transport_link:EauClaire_to_BlackRiverFalls:Manure,"{""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""black_river_falls"", ""origin"": ""eau_claire"", ""product"": ""manure""}","{""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""black_river_falls"", ""origin"": ""eau_claire"", ""product"": ""manure""}",True,blocking,each expected transport link must be recovered
canonical,transport_cost:EauClaire_to_BlackRiverFalls:Manure,transport_cost:EauClaire_to_BlackRiverFalls:Manure,0.2,0.2,0.2,0.2,True,blocking,"route-specific transport costs must stay attached to the correct origin, destination, and product"
canonical,transport_capacity:EauClaire_to_BlackRiverFalls:Manure,transport_capacity:EauClaire_to_BlackRiverFalls:Manure,"{""capacity"": 1000.0, ""route"": {""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""diagnosis"": ""capacity_recovered"", ""route"": {""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""black_river_falls"", ""origin"": ""eau_claire"", ""product"": ""manure""}}","{""capacity"": 1000.0, ""route"": {""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""diagnosis"": ""capacity_recovered"", ""route"": {""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""black_river_falls"", ""origin"": ""eau_claire"", ""product"": ""manure""}}",True,blocking,"each required transport capacity must be recovered, even when currently nonbinding"
canonical,transport_attribute:transport_link_attributes:EauClaire_to_Menomonie:Manure,transport_attribute:transport_link_attributes:EauClaire_to_Menomonie:Manure,"{""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""all_required_route_attributes_present"": true, ""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""menomonie"", ""origin"": ""eau_claire"", ""product"": ""manure"", ""route_complete_for_reasoning"": true}","{""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""all_required_route_attributes_present"": true, ""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""menomonie"", ""origin"": ""eau_claire"", ""product"": ""manure"", ""route_complete_for_reasoning"": true}",True,blocking,pass
canonical,transport_attribute:transport_link_attributes:EauClaire_to_BlackRiverFalls:Manure,transport_attribute:transport_link_attributes:EauClaire_to_BlackRiverFalls:Manure,"{""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""all_required_route_attributes_present"": true, ""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""black_river_falls"", ""origin"": ""eau_claire"", ""product"": ""manure"", ""route_complete_for_reasoning"": true}","{""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""all_required_route_attributes_present"": true, ""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""black_river_falls"", ""origin"": ""eau_claire"", ""product"": ""manure"", ""route_complete_for_reasoning"": true}",True,blocking,pass
canonical,technology:no_technology_yields_expected,technology:no_technology_yields_expected,True,True,True,True,True,blocking,"technology yields, capacities, and costs must be recovered"
canonical,route_association:Menomonie,route_association:Menomonie,"{""consumer_bid"": -0.5, ""route_net_value"": -0.6, ""source_contribution"": 0.0, ""transport_cost"": 0.1}","{""consumer_bid"": -0.5, ""route_net_value"": -0.6, ""source_contribution"": -0.0, ""transport_cost"": 0.1}","{""consumer_bid"": -0.5, ""route_net_value"": -0.6, ""source_contribution"": 0.0, ""transport_cost"": 0.1}","{""consumer_bid"": -0.5, ""route_net_value"": -0.6, ""source_contribution"": -0.0, ""transport_cost"": 0.1}",True,blocking,pass
canonical,route_association:Black River Falls,route_association:Black River Falls,"{""consumer_bid"": 1.5, ""route_net_value"": 1.3, ""source_contribution"": 0.0, ""transport_cost"": 0.2}","{""consumer_bid"": 1.5, ""route_net_value"": 1.3, ""source_contribution"": -0.0, ""transport_cost"": 0.2}","{""consumer_bid"": 1.5, ""route_net_value"": 1.3, ""source_contribution"": 0.0, ""transport_cost"": 0.2}","{""consumer_bid"": 1.5, ""route_net_value"": 1.3, ""source_contribution"": -0.0, ""transport_cost"": 0.2}",True,blocking,pass
canonical,validated_solver_ready_formulation,validated_solver_ready_formulation,True,"{""incomplete_technologies"": [], ""invalid_references"": [], ""missing_parameters"": [], ""solver_ready"": true}",True,"{""incomplete_technologies"": [], ""invalid_references"": [], ""missing_parameters"": [], ""solver_ready"": true}",True,blocking,all required numerical parameters and references must be present before formulation recovery is complete
paraphrased,entity_count:products,entity_count:products,1,1,1,1,True,blocking,"required products, participants, routes, and technologies must be recovered"
paraphrased,entity_count:source_supplier_entities,entity_count:source_supplier_entities,1,1,1,1,True,blocking,"required products, participants, routes, and technologies must be recovered"
paraphrased,entity_count:demand_consumer_entities,entity_count:demand_consumer_entities,2,2,2,2,True,blocking,"required products, participants, routes, and technologies must be recovered"
paraphrased,entity_count:transport_paths,entity_count:transport_paths,2,2,2,2,True,blocking,"required products, participants, routes, and technologies must be recovered"
paraphrased,entity_count:technologies,entity_count:technologies,0,0,0,0,True,blocking,"required products, participants, routes, and technologies must be recovered"
paraphrased,entity_count:products_include_manure,entity_count:products_include_manure,True,True,True,True,True,blocking,"required products, participants, routes, and technologies must be recovered"
paraphrased,entity_count:manure_source_supplier_entities,entity_count:manure_source_supplier_entities,1,1,1,1,True,blocking,"required products, participants, routes, and technologies must be recovered"
paraphrased,entity_count:manure_demand_consumer_entities,entity_count:manure_demand_consumer_entities,2,2,2,2,True,blocking,"required products, participants, routes, and technologies must be recovered"
paraphrased,entity_count:manure_transport_paths_from_source,entity_count:manure_transport_paths_from_source,2,2,2,2,True,blocking,"required products, participants, routes, and technologies must be recovered"
paraphrased,topology:one_source_node,topology:one_source_node,True,True,True,True,True,blocking,required network topology and product semantics must be recovered
paraphrased,topology:distinct_sink_nodes,topology:distinct_sink_nodes,2,2,2,2,True,blocking,required network topology and product semantics must be recovered
paraphrased,topology:source_outgoing_to_two_sinks,topology:source_outgoing_to_two_sinks,True,True,True,True,True,blocking,required network topology and product semantics must be recovered
paraphrased,topology:no_technologies,topology:no_technologies,True,True,True,True,True,blocking,required network topology and product semantics must be recovered
paraphrased,topology:negative_bid_detection,topology:negative_bid_detection,True,True,True,True,True,blocking,required network topology and product semantics must be recovered
paraphrased,topology:transport_product_semantics,topology:transport_product_semantics,"[""Manure"", ""Manure""]","[""Manure"", ""Manure""]","[""Manure"", ""Manure""]","[""Manure"", ""Manure""]",True,blocking,required network topology and product semantics must be recovered
paraphrased,parameter:supplier_capacities,parameter:supplier_capacities,[1000.0],[1000.0],[1000.0],[1000.0],True,blocking,all supplier capacities must be recovered
paraphrased,parameter:consumer_capacities,parameter:consumer_capacities,"[500.0, 500.0]","[500.0, 500.0]","[500.0, 500.0]","[500.0, 500.0]",True,blocking,all consumer capacities must be recovered
paraphrased,parameter:consumer_bid_prices,parameter:consumer_bid_prices,"[-0.5, 1.5]","[-0.5, 1.5]","[-0.5, 1.5]","[-0.5, 1.5]",True,blocking,all consumer bid prices must be recovered
paraphrased,parameter:supplier_bid_prices,parameter:supplier_bid_prices,[0.0],[0.0],[0.0],[0.0],True,blocking,all supplier bid prices must be recovered
paraphrased,parameter:transport_costs,parameter:transport_costs,"[0.1, 0.2]","[0.1, 0.2]","[0.1, 0.2]","[0.1, 0.2]",True,blocking,transport-cost multiset is diagnostic; route association is checked separately
paraphrased,parameter:transport_capacities,parameter:transport_capacities,"[1000.0, 1000.0]","[1000.0, 1000.0]","[1000.0, 1000.0]","[1000.0, 1000.0]",True,blocking,all required transport capacities must be recovered
paraphrased,transport_link:EauClaire_to_Menomonie:Manure,transport_link:EauClaire_to_Menomonie:Manure,"{""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""Eau_Claire"", ""product"": ""Manure""}","{""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""Eau_Claire"", ""product"": ""Manure""}",True,blocking,each expected transport link must be recovered
paraphrased,transport_cost:EauClaire_to_Menomonie:Manure,transport_cost:EauClaire_to_Menomonie:Manure,0.1,0.1,0.1,0.1,True,blocking,"route-specific transport costs must stay attached to the correct origin, destination, and product"
paraphrased,transport_capacity:EauClaire_to_Menomonie:Manure,transport_capacity:EauClaire_to_Menomonie:Manure,"{""capacity"": 1000.0, ""route"": {""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""diagnosis"": ""capacity_recovered"", ""route"": {""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""Eau_Claire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""route"": {""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""diagnosis"": ""capacity_recovered"", ""route"": {""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""Eau_Claire"", ""product"": ""Manure""}}",True,blocking,"each required transport capacity must be recovered, even when currently nonbinding"
paraphrased,transport_link:EauClaire_to_BlackRiverFalls:Manure,transport_link:EauClaire_to_BlackRiverFalls:Manure,"{""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""Black_River_Falls"", ""origin"": ""Eau_Claire"", ""product"": ""Manure""}","{""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""Black_River_Falls"", ""origin"": ""Eau_Claire"", ""product"": ""Manure""}",True,blocking,each expected transport link must be recovered
paraphrased,transport_cost:EauClaire_to_BlackRiverFalls:Manure,transport_cost:EauClaire_to_BlackRiverFalls:Manure,0.2,0.2,0.2,0.2,True,blocking,"route-specific transport costs must stay attached to the correct origin, destination, and product"
paraphrased,transport_capacity:EauClaire_to_BlackRiverFalls:Manure,transport_capacity:EauClaire_to_BlackRiverFalls:Manure,"{""capacity"": 1000.0, ""route"": {""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""diagnosis"": ""capacity_recovered"", ""route"": {""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""Black_River_Falls"", ""origin"": ""Eau_Claire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""route"": {""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}}","{""capacity"": 1000.0, ""diagnosis"": ""capacity_recovered"", ""route"": {""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""Black_River_Falls"", ""origin"": ""Eau_Claire"", ""product"": ""Manure""}}",True,blocking,"each required transport capacity must be recovered, even when currently nonbinding"
paraphrased,transport_attribute:transport_link_attributes:EauClaire_to_Menomonie:Manure,transport_attribute:transport_link_attributes:EauClaire_to_Menomonie:Manure,"{""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""all_required_route_attributes_present"": true, ""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""Eau_Claire"", ""product"": ""Manure"", ""route_complete_for_reasoning"": true}","{""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""all_required_route_attributes_present"": true, ""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""Menomonie"", ""origin"": ""Eau_Claire"", ""product"": ""Manure"", ""route_complete_for_reasoning"": true}",True,blocking,pass
paraphrased,transport_attribute:transport_link_attributes:EauClaire_to_BlackRiverFalls:Manure,transport_attribute:transport_link_attributes:EauClaire_to_BlackRiverFalls:Manure,"{""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""all_required_route_attributes_present"": true, ""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""Black_River_Falls"", ""origin"": ""Eau_Claire"", ""product"": ""Manure"", ""route_complete_for_reasoning"": true}","{""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""BlackRiverFalls"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""all_required_route_attributes_present"": true, ""capacity"": 1000.0, ""cost"": 0.2, ""destination"": ""Black_River_Falls"", ""origin"": ""Eau_Claire"", ""product"": ""Manure"", ""route_complete_for_reasoning"": true}",True,blocking,pass
paraphrased,technology:no_technology_yields_expected,technology:no_technology_yields_expected,True,True,True,True,True,blocking,"technology yields, capacities, and costs must be recovered"
paraphrased,route_association:Menomonie,route_association:Menomonie,"{""consumer_bid"": -0.5, ""route_net_value"": -0.6, ""source_contribution"": 0.0, ""transport_cost"": 0.1}","{""consumer_bid"": -0.5, ""route_net_value"": -0.6, ""source_contribution"": -0.0, ""transport_cost"": 0.1}","{""consumer_bid"": -0.5, ""route_net_value"": -0.6, ""source_contribution"": 0.0, ""transport_cost"": 0.1}","{""consumer_bid"": -0.5, ""route_net_value"": -0.6, ""source_contribution"": -0.0, ""transport_cost"": 0.1}",True,blocking,pass
paraphrased,route_association:Black River Falls,route_association:Black River Falls,"{""consumer_bid"": 1.5, ""route_net_value"": 1.3, ""source_contribution"": 0.0, ""transport_cost"": 0.2}","{""consumer_bid"": 1.5, ""route_net_value"": 1.3, ""source_contribution"": -0.0, ""transport_cost"": 0.2}","{""consumer_bid"": 1.5, ""route_net_value"": 1.3, ""source_contribution"": 0.0, ""transport_cost"": 0.2}","{""consumer_bid"": 1.5, ""route_net_value"": 1.3, ""source_contribution"": -0.0, ""transport_cost"": 0.2}",True,blocking,pass
paraphrased,validated_solver_ready_formulation,validated_solver_ready_formulation,True,"{""incomplete_technologies"": [], ""invalid_references"": [], ""missing_parameters"": [], ""solver_ready"": true}",True,"{""incomplete_technologies"": [], ""invalid_references"": [], ""missing_parameters"": [], ""solver_ready"": true}",True,blocking,all required numerical parameters and references must be present before formulation recovery is complete
